Abase,/əˈbās/,Behave in a hahahahhahhahahahhway that belittles or degrades (someone).,"""I watched my colleagues abasing themselves before the board of trustees.""","Humble, humiliate, belittle, demean, lower, degrade, disgrace, disparage, debase, cheapen, discredit, mortify, bring low, demote, reduce.",,,,,,,[sound:AUDIO-Abase.mp3],
Abash,/əˈbaSH/,"Make (someone) feel embarrassed, disconcerted, or ashamed.","""If anything was officially done or said to him, it did not abash him.""",,,,,,,,[sound:AUDIO-Abash.mp3],
Abashed,/əˈbaSHt/,"Embarrassed, disconcerted, or ashamed.","""Harriet looked slightly abashed.""","Embarrassed, ashamed, shamefaced, remorseful, mortified, conscience-stricken, humiliated, humbled, taken aback, disconcerted, nonplussed, discomfited, discomposed, distressed, chagrined, perturbed, confounded, dismayed, dumbfounded, crestfallen, sheepish, red-faced, blushing, confused, put out of countenance, discountenanced, with one's tail between one's legs.",,,,,,,[sound:AUDIO-Abashed.mp3],
Abate,/əˈbāt/,"(of something perceived as hostile, threatening, or negative) become less intense or widespread.","""The storm suddenly abated.""","Subside, die away, die down, die out, drop away, drop off, lessen, ease, ease off, let up, decrease, diminish, moderate, decline, fade, dwindle, slacken, recede, cool off, tail off, peter out, taper off, wane, ebb, relent, desist, weaken, become weaker, come to an end.",,,,,,,[sound:AUDIO-Abate.mp3],
Abbess,/ˈabəs/,A woman who is the head of an abbey of nuns.,"""The abbess welcomed the visitors.""","Nun, novice, abbess, prioress, mother superior, reverend mother.",,,,,,,[sound:AUDIO-Abbess.mp3],
Abbey,/ˈabē/,The building or buildings occupied by a community of monks or nuns.,"""The abbey has been running for 400 years.""","Monastery, convent, priory, cloister, friary, nunnery, religious house, religious community.",,,,,,,[sound:AUDIO-Abbey.mp3],
Abbot,/ˈabət/,A man who is the head of an abbey of monks.,"""The abbot has already spoken on this topic.""",,,,,,,,[sound:AUDIO-Abbot.mp3],
Abbreviate,/əˈbrēvēˌāt/,"Shorten (a word, phrase, or text).","""The business of artists and repertory, commonly abbreviated to a&amp;r.""","Shorten, reduce, cut, cut down, cut short, contract, condense, compress, abridge, truncate, clip, crop, pare down, prune, shrink, constrict, telescope, curtail.",,,,,,,[sound:AUDIO-Abbreviate.mp3],
Abdicate,/ˈabdəˌkāt/,(of a monarch) renounce one's throne.,"""In 1918 Kaiser Wilhelm abdicated as German Emperor.""","Resign, retire, quit, stand down, step down, bow out, renounce the throne.",Fail to fulfill or undertake (a responsibility or duty).,"""The government was accused of abdicating its responsibility.""","Disown, turn down, spurn, reject, renounce, give up, avoid, refuse, abnegate, relinquish, abjure, repudiate, waive, yield, forgo, abandon, surrender, deliver up, disgorge, cast aside, drop, turn one's back on, wash one's hands of.",,,,[sound:AUDIO-Abdicate.mp3],
Abdomen,/ˈabdəmən/,"The part of the body of a vertebrate containing the digestive organs; the belly. in humans and other mammals, it is bounded by the diaphragm and the pelvis.","""Contact a doctor immediately if you experience a sudden, sharp pain in your abdomen.""","Stomach, belly, gut, middle, midriff, intestines.",,,,,,,[sound:AUDIO-Abdomen.mp3],
